1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
12252,10765,11879,10616,10935,11380,11765,9872,11034,11116,11815,13606,13211,10365,11585,10776,11651,10752,10342,11292,10470,9774,10439,10792,12198,9633,11225,9962,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10928,11116,11815,13606,13211,10365,11585,10776,11651,10752,10342,11292,10470,9774,10439,10792,12198,9633,11225,9962,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10928,11116,11739,13606,13211,10365,11585,10776,11651,10752,10342,11292,10470,9774,10439,10792,12198,9633,11225,9961,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10833,11116,11694,13555,13211,10365,11585,10776,11651,10752,10342,11292,10470,9774,10439,10792,12198,9633,11225,9908,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10833,11116,11694,13528,13211,10365,11585,10776,11651,10752,10252,11292,10470,9774,10439,10792,12198,9590,11225,9908,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10833,11116,11694,13528,13211,10365,11585,10776,11537,10752,10243,11292,10470,9774,10439,10792,12198,9590,11225,9908,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10827,11116,11694,13528,13211,10365,11585,10776,11537,10752,10234,11292,10470,9774,10439,10792,11977,9534,11203,9840,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10827,11116,11694,13528,13211,10365,11585,10776,11537,10752,10234,11292,10470,9774,10439,10792,11977,9500,11165,9840,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10827,11116,11694,13528,13211,10365,11585,10776,11343,10752,10234,11292,10470,9774,10439,10792,11977,9500,11165,9840,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,10827,11116,11694,13528,13211,10250,11585,10776,11343,10752,10234,11292,10470,9774,10439,10792,11977,9302,11015,9759,11997,11108,
12252,10765,11879,10616,10803,11380,11765,9872,10827,11116,11694,13528,13211,10250,11585,10776,11343,10752,10234,11292,10470,9774,10439,10792,11977,9286,11015,9702,11997,11108,
12252,10765,11879,10616,10803,11380,11765,9872,10827,11116,11694,13528,13211,10250,11585,10776,11343,10752,10234,11292,10470,9774,10439,10792,11977,9265,11015,9580,11997,11108,
12252,10765,11879,10616,10802,11380,11765,9872,10827,11116,11694,13528,13211,10190,11585,10776,11343,10752,10234,11292,10470,9774,10439,10792,11977,9106,11015,9473,11997,11108,
12252,10765,11879,10616,10802,11380,11765,9872,10827,11116,11694,13528,13211,10190,11585,10776,11297,10752,10234,11292,10470,9774,10439,10792,11977,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10802,11380,11757,9765,10827,11116,11694,13528,13211,10190,11585,10776,11297,10752,10234,11292,10470,9774,10439,10792,11906,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10802,11380,11676,9765,10770,11116,11694,13528,13211,10190,11585,10776,11297,10752,10234,11292,10470,9774,10439,10792,11906,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10690,11380,11676,9765,10735,11116,11694,13528,13211,10190,11585,10776,11297,10752,10234,11292,10470,9774,10439,10792,11906,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10690,11380,11676,9765,10735,11116,11694,13528,13211,10190,11585,10776,11297,10752,10234,11292,10470,9774,10439,10792,11906,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10690,11380,11676,9765,10735,11116,11694,13472,13211,10190,11585,10776,11286,10752,10234,11149,10470,9774,10439,10792,11906,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10690,11380,11621,9765,10735,11116,11694,13446,13211,10190,11585,10776,11190,10752,10234,11134,10470,9774,10439,10792,11906,9104,11015,9365,11997,11108,
12252,10765,11879,10616,10690,11380,11452,9765,10735,11116,11694,13434,13211,10190,11585,10776,11190,10752,10234,11092,10470,9774,10439,10792,11906,9104,11015,9365,11997,11094,
12252,10765,11879,10616,10690,11380,11452,9765,10735,11116,11694,13413,13211,10190,11585,10776,11190,10752,10234,11092,10470,9774,10439,10792,11906,9104,11015,9365,11997,10997,
12252,10765,11879,10616,10690,11380,11452,9765,10735,11116,11694,13268,13211,10190,11538,10776,11190,10752,10234,11092,10470,9774,10390,10792,11906,9104,11015,9365,11997,10997,
12252,10765,11879,10616,10690,11380,11452,9765,10735,11116,11694,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10270,10792,11906,9104,11015,9365,11997,10997,
12252,10765,11879,10616,10690,11380,11443,9765,10735,11116,11694,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10916,
12252,10765,11879,10616,10690,11380,11203,9765,10735,11116,11694,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11856,10616,10690,11380,11203,9765,10735,11027,11694,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11642,10616,10690,11380,11203,9765,10692,10982,11694,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11642,10616,10690,11380,11203,9765,10692,10801,11694,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11618,10616,10690,11380,11203,9765,10692,10762,11643,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11618,10616,10690,11380,11203,9765,10692,10721,11643,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11585,10616,10690,11380,11203,9765,10692,10613,11635,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11906,9104,11015,9365,11997,10881,
12252,10765,11467,10616,10690,11380,11203,9765,10692,10613,11635,13262,13211,10190,11538,10776,11190,10752,10234,11092,10470,9757,10218,10792,11855,9104,11015,9365,11997,10881,
12252,10765,11467,10616,10690,11380,11203,9765,10692,10613,11635,13262,13211,10190,11538,10776,11185,10752,10234,11092,10470,9757,10218,10792,11840,9104,11015,9365,11997,10779,
12252,10765,11428,10616,10690,11380,11203,9765,10692,10613,11635,13262,13211,10190,11538,10776,11185,10752,10234,11092,10470,9757,10218,10792,11840,9104,11015,9365,11997,10779,
12252,10765,11428,10616,10690,11380,11061,9765,10692,10613,11635,13262,13211,10190,11532,10776,11126,10752,10234,11092,10470,9757,10218,10792,11840,9104,11015,9365,11997,10779,
12252,10765,11428,10616,10648,11380,11061,9765,10692,10613,11632,13262,13211,10190,11498,10776,11126,10752,10234,11092,10470,9721,10218,10792,11756,9104,11015,9365,11997,10779,
12252,10765,11428,10616,10600,11380,11061,9765,10692,10613,11632,13262,13211,10190,11498,10776,11126,10752,10234,11069,10470,9721,10218,10792,11616,9104,11015,9365,11997,10779,
12252,10765,11428,10616,10517,11380,11061,9765,10692,10613,11423,13262,13211,10190,11490,10776,11126,10752,10234,11069,10470,9578,10218,10792,11616,9104,11015,9365,11997,10779,
12252,10765,11428,10616,10517,11161,11061,9765,10692,10613,11179,13262,13211,10190,11490,10776,11126,10752,10234,11069,10470,9578,10218,10792,11616,9104,11015,9365,11997,10779,
12252,10765,11363,10616,10517,11161,11061,9765,10692,10537,11134,13262,13211,10156,11490,10776,11126,10752,10234,11069,10470,9578,10218,10792,11616,9104,11015,9365,11997,10779,
12252,10765,11289,10616,10517,11161,11061,9765,10692,10537,10991,13262,13211,10139,11490,10776,11126,10752,10234,11069,10470,9554,10218,10792,11616,9104,11015,9365,11997,10779,
12252,10765,11289,10616,10517,11161,11061,9765,10692,10537,10818,13262,13211,10139,11490,10776,11079,10752,10234,11069,10470,9554,10218,10792,11566,9104,11015,9365,11997,10779,
12252,10765,11289,10616,10517,11161,11061,9765,10692,10537,10818,13262,13211,10139,11490,10776,11073,10752,10234,11069,10470,9554,10218,10792,11506,9104,11015,9365,11997,10779,
12252,10765,11289,10616,10517,11161,11061,9765,10692,10537,10781,13262,13211,10139,11490,10776,11073,10752,10234,11069,10470,9554,10218,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,11061,9765,10692,10537,10781,13262,13200,10100,11490,10776,10950,10752,10234,11069,10470,9554,10218,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,11061,9765,10692,10537,10781,13262,13200,10100,11490,10776,10852,10752,10234,11069,10470,9554,10218,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10537,10781,13262,13111,10100,11490,10776,10852,10752,10234,11069,10470,9554,10218,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10537,10781,13262,13111,10100,11490,10776,10852,10752,10234,11069,10470,9554,10218,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10537,10781,13262,13111,10100,11490,10776,10805,10752,10234,11069,10470,9554,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10537,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9541,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10537,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9541,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10535,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9541,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11161,10945,9765,10692,10535,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9442,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11155,10945,9765,10692,10535,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9442,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11155,10945,9765,10692,10535,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9442,10178,10792,11493,9104,11015,9365,11997,10779,
12252,10765,11267,10616,10517,11155,10945,9765,10692,10535,10781,13262,13111,10024,11490,10776,10805,10752,10234,11069,10470,9442,10166,10792,11493,9104,11015,9365,11997,10779,
